name|meaning
Aban|Old Arabic name
Abbas|Description of a lion
Abbud|Worshipper
Abbudin|Worshippers
Abdul, Abdel|Servant (of Allah)
Abdul-Alim|Servant of the Omniscient
Abdul-Aliyy|Servant of the Most High
Abdul-Azim|Servant of the Mighty
Abdul-Aziz|Servant of the Powerful One
Abdul-Bari|Servant of the Creator
Abdul-Basit|Servant of the Extender
Abdul-Fattah|Servant of the Opener (of the gates of sustenance)
Abdul-Ghaffar, Abdul-Ghafur|Servant of the Forgiver
Abdul-Hadi|Servant of the Guide
Abdul-Hafiz|Servant of the Protector
Abdul-Hakam|Servant of the Arbitrator
Abdul-Hakim|Servant of the Wise One
Abdul-Halim|Servant of the Mild, Patient One
Abdul-Hamid|Servant of the Praised One
Abdul-Haqq|Servant of the Truth
Abdul-Hasib|Servant of the Respected, Esteemed
Abdul-Jabbar|Servant of the Mighty
Abdul-Jalil|Servant of the Great, Revered One
Abdul-Karim|Servant of the Noble, Generous One
Abdul-Khaliq|Servant of the Creator
Abdul-Latif|Servant of the Kind One
Abdul-Malik|Servant of the Master (or King)
Abdul-Majid|Servant of the Glorious One
Abdul-Matin|Servant of the Firm, Strong
Abdul-Muhaimin|Servant of the Supervising, the Guardian, the Protector
Abdul-Mu�izz|Servant of the Giver of Might and Glory
Abdul-Mujib|Servant of the Responder
Abdul-Muta�al|Servant of the Most High
Abdul-Nasser|Servant of the Victorious One
Abdul-Nasir|Servant of the Helper, Protector
Abdul-Qadir|Servant of the Capable, Powerful
Abdul-Qahhar|Servant of the Subduer, the Almighty
Abdul-Quddus|Servant of the Most Holy
Abdul-Rafi|Servant of the One Who Raises, Elevates (intellect, esteem)
Abdul-Rahim|Servant of the Most Compassionate One
Abdul-Rahman|Servant of the Merciful One
Abdul-Rashid|Servant of the Rightly Guided One
Abdul-Ra�uf|Servant of the Most Merciful
Abdul-Razzaq|Servant of the Maintainer, the Provider
Abdul-Sabur|Servant of the Patient
Abdul-Salam|Servant of the Peace
Abdul-Samad|Servant of the Eternal
Abdul-Sami|Servant of the All-Hearing
Abdul-Shakur|Servant of the Most Thankful
Abdul-Tawwab|Servant of the Forgiver
Abdul-Wadud|Servant of the Loving
Abdul-Wahhab|Servant of the Giver
Abdul-Wahid|Servant of the One
